election_name,href,full_url
"November 7, 2023 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_7,_2023_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_7,_2023_-_Municipal_Election/Categories.html"
"May 16, 2023 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/SelectParty.html"
"November 8, 2022 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2022_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2022_-_General_Election/Categories.html"
"May 17, 2022 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_17,_2022_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_17,_2022_-_General_Primary/SelectParty.html"
"November 2, 2021 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_2,_2021_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_2,_2021_-_Municipal_Election/Categories.html"
"May 18, 2021 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_18,_2021_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_18,_2021_-_Municipal_Primary/SelectParty.html"
"November 3, 2020 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2020_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2020_-_General_Election/Categories.html"
"June 2, 2020 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/June_2,_2020_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/June_2,_2020_-_General_Primary/SelectParty.html"
"November 5, 2019 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_5,_2019_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_5,_2019_-_Municipal_Election/Categories.html"
"May 21, 2019 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_21,_2019_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_21,_2019_-_Municipal_Primary/SelectParty.html"
"November 6, 2018 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_6,_2018_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_6,_2018_-_General_Election/Categories.html"
"May 15, 2018 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_15,_2018_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_15,_2018_-_General_Primary/SelectParty.html"
"November 7, 2017 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_7,_2017_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_7,_2017_-_Municipal_Election/Categories.html"
"May 16, 2017 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2017_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2017_-_Municipal_Primary/SelectParty.html"
"November 8, 2016 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2016_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2016_-_General_Election/Categories.html"
"April 26, 2016 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/April_26,_2016_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/April_26,_2016_-_General_Primary/SelectParty.html"
"November 3, 2015 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2015_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2015_-_Municipal_Election/Categories.html"
"May 19, 2015 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_19,_2015_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_19,_2015_-_Municipal_Primary/SelectParty.html"
"November 4, 2014 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_4,_2014_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_4,_2014_-_General_Election/Categories.html"
"May 20, 2014 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_20,_2014_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_20,_2014_-_General_Primary/SelectParty.html"
"November 5, 2013 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_5,_2013_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_5,_2013_-_Municipal_Election/Categories.html"
"May 21, 2013 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_21,_2013_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_21,_2013_-_Municipal_Primary/SelectParty.html"
"November 6, 2012 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_6,_2012_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_6,_2012_-_General_Election/Categories.html"
"April 24, 2012 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/April_24,_2012_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/April_24,_2012_-_General_Primary/SelectParty.html"
"November 8, 2011 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2011_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_8,_2011_-_Municipal_Election/Categories.html"
"May 17, 2011 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_17,_2011_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_17,_2011_-_Municipal_Primary/SelectParty.html"
"November 2, 2010 - General Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_2,_2010_-_General_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_2,_2010_-_General_Election/Categories.html"
"May 18, 2010 - General Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_18,_2010_-_General_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_18,_2010_-_General_Primary/SelectParty.html"
"November 3, 2009 - Municipal Election","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2009_-_Municipal_Election/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/November_3,_2009_-_Municipal_Election/Categories.html"
"May 19, 2009 - Municipal Primary","https://vr.co.lancaster.pa.us/ElectionReturns/May_19,_2009_-_Municipal_Primary/SelectParty.html","https://vr.co.lancaster.pa.us/ElectionReturns/May_19,_2009_-_Municipal_Primary/SelectParty.html"
"January 13, 2009 - Special Election - Donegal","https://vr.co.lancaster.pa.us/ElectionReturns/January_13,_2009_-_Special_Election_-_Donegal/Categories.html","https://vr.co.lancaster.pa.us/ElectionReturns/January_13,_2009_-_Special_Election_-_Donegal/Categories.html"
