# Election: 2012 General Election (2012-11-06) - Election ID: 27 - Lancaster County
# Report generated on: 2026-05-29T02:05:42
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2012 General Election,LANCASTER,President of the United States,StateWide,Republican,,"130,669",0,0,,,,,,,,,
2012 General Election,LANCASTER,President of the United States,StateWide,Democratic,,"88,481",0,0,,,,,,,,,
2012 General Election,LANCASTER,President of the United States,StateWide,Green,,759,0,0,,,,,,,,,
2012 General Election,LANCASTER,President of the United States,StateWide,Libertarian,,"2,527",0,0,,,,,,,,,
2012 General Election,LANCASTER,United States Senator,StateWide,Republican,,"127,135",0,0,,,,,,,,,
2012 General Election,LANCASTER,United States Senator,StateWide,Democratic,,"88,778",0,0,,,,,,,,,
2012 General Election,LANCASTER,United States Senator,StateWide,Libertarian,,"4,387",0,0,,,,,,,,,
2012 General Election,LANCASTER,Attorney General,StateWide,Republican,,"118,414",0,0,,,,,,,,,
2012 General Election,LANCASTER,Attorney General,StateWide,Democratic,,"95,011",0,0,,,,,,,,,
2012 General Election,LANCASTER,Attorney General,StateWide,Libertarian,,"5,091",0,0,,,,,,,,,
2012 General Election,LANCASTER,Auditor General,StateWide,Republican,,"129,749",0,0,,,,,,,,,
2012 General Election,LANCASTER,Auditor General,StateWide,Democratic,,"75,857",0,0,,,,,,,,,
2012 General Election,LANCASTER,Auditor General,StateWide,Libertarian,,"10,220",0,0,,,,,,,,,
2012 General Election,LANCASTER,State Treasurer,StateWide,Republican,,"125,440",0,0,,,,,,,,,
2012 General Election,LANCASTER,State Treasurer,StateWide,Democratic,,"81,364",0,0,,,,,,,,,
2012 General Election,LANCASTER,State Treasurer,StateWide,Libertarian,,"8,588",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,7th Congressional District,Republican,,"6,398",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,7th Congressional District,Democratic,,"2,007",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,16th Congressional District,Republican,,"126,530",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,16th Congressional District,Democratic,,"70,066",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,16th Congressional District,BEDNARSKI FOR CONGRESS,,"4,562",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in Congress,16th Congressional District,Independent,,"8,910",0,0,,,,,,,,,
2012 General Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Republican,,"50,036",0,0,,,,,,,,,
2012 General Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Democratic,,"42,090",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,"20,999",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,,"7,713",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,,"20,183",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,,"13,562",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,,"18,880",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,,"10,477",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Republican,,"5,493",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,,"14,659",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Independent,,"1,581",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,,"25,071",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,,"18,761",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,,"19,198",0,0,,,,,,,,,
2012 General Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,,"18,795",0,0,,,,,,,,,
