# Election: 2015 Municipal Election (2015-11-03) - Election ID: 43 - Lancaster County
# Report generated on: 2026-05-29T02:01:43
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"22,299",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"22,621",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"24,052",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"39,640",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"35,761",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"35,035",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Independent Judicial Alliance,,"5,077",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"23,922",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,,"39,102",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,,"22,382",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,,"40,377",0,0,,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,,0,"40,682","10,321",,,,,,,,,
2015 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic / Republican,,"59,228",0,0,,,,,,,,,
