# Election: 2017 Municipal Primary (2017-05-16) - Election ID: 59 - Lancaster County
# Report generated on: 2026-05-29T01:59:12
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2017 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,DWAYNE WOODRUFF,"12,713",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,SALLIE MUNDY,"20,533",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,CAROLYN H NICHOLS,"10,714",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,GEOFF MOULTON,"8,288",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,MARIA MCLAUGHLIN,"10,642",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,DEBBIE KUNSELMAN,"9,862",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,BILL CAYE,"3,831",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,EMIL GIORDANO,"13,605",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,CRAIG STEDMAN,"21,730",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,WADE A KAGARISE,"14,522",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,MARY MURRAY,"8,262",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,PAULA A PATRICK,"11,473",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,TIMOTHY BARRY,"2,017",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,JOE COSGROVE,"2,851",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,ELLEN CEISLER,"6,573",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,TODD EAGEN,"4,595",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,IRENE M CLARK,"4,526",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,BRYAN BARBIN,"1,079",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,PAUL LALLEY,"17,609",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,CHRISTINE FIZZANO CANNON,"16,773",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,JEFF CONRAD,"10,611",0,0,,,,,,,,,
2017 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,JEFF CONRAD,"20,498",0,0,,,,,,,,,
