# Election: 2018 General Primary (2018-05-15) - Election ID: 63 - Lancaster County
# Report generated on: 2026-05-29T01:51:54
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2018 General Primary,LANCASTER,United States Senator,Statewide,Democratic,BOB CASEY JR,"17,250",0,0,,,,,,,,,
2018 General Primary,LANCASTER,United States Senator,Statewide,Republican,JIM CHRISTIANA,"13,182",0,0,,,,,,,,,
2018 General Primary,LANCASTER,United States Senator,Statewide,Republican,LOU BARLETTA,"25,818",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Governor,Statewide,Democratic,TOM WOLF,"17,008",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Governor,Statewide,Republican,SCOTT R WAGNER,"19,390",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Governor,Statewide,Republican,PAUL MANGO,"13,739",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Governor,Statewide,Republican,LAURA ELLSWORTH,"9,570",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,KATHI COZZONE,"4,118",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,JOHN FETTERMAN,"4,605",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,MIKE STACK,"1,255",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,RAY SOSA,434,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,NINA AHMAD,"6,761",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,KATHY CODER,"7,249",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,DIANA IREY VAUGHAN,"5,320",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,JEFF BARTOS,"19,793",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,PEG LUKSIK,"6,678",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in Congress,11th Congressional District,Democratic,JESS KING,"17,477",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in Congress,11th Congressional District,Republican,CHET BEILER,"16,829",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K SMUCKER,"25,076",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Democratic,BILL TROUTMAN,"7,546",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,RYAN P AUMENT,"22,715",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,SUE WALKER,89,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,JOHN LAWRENCE,256,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,SUZANNE M DELAHUNT,"1,551",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"5,869",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,MICHELE WHERLEY,"2,903",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"5,466",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,JEN PORTER,"1,951",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"5,265",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,MIKE STURLA,"2,753",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,DANA HAMP GULICK,"3,338",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"6,448",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,MARY AUKER-ENDRES,"1,837",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,DAVID S HICKERNELL,"4,519",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVE ZIMMERMAN,"4,715",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"4,445",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,128th Legislative District,Democratic,DOUG METCALFE,94,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,MARK M GILLEN,579,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,129th Legislative District,Democratic,TRISH WERTZ,208,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,JIM COX,946,0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,MARY AUKER-ENDRES,"12,869",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,JANET DIAZ,"14,698",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,JANET SPLEEN,"11,032",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,ISMAIL SMITH-WADE-EL,"13,350",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,SCOTT ALTHOUSE,"12,775",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,LAUREN EDGELL,"14,011",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,TOM O'BRIEN,"12,874",0,0,,,,,,,,,
2018 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,JOHN C BEAR,"27,007",0,0,,,,,,,,,
