# Election: 2019 Municipal Election  (2019-11-05) - Election ID: 72 - Lancaster County
# Report generated on: 2026-05-29T00:46:48
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2019 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,ANNE E LAZARUS,0,"54,241","16,428",,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,JUDY OLSON,0,"55,508","14,167",,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,AMANDA GREEN-HAWKINS,"30,986",0,0,,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,DANIEL D MCCAFFERY,"30,834",0,0,,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,MEGAN MCCARTHY KING,"51,242",0,0,,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,CHRISTYLEE PECK,"46,529",0,0,,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Commonwealth Court (Retention),Statewide,,KEVIN BROBSON,0,"53,436","15,026",,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Commonwealth Court (Retention),Statewide,,PATRICIA A MCCULLOUGH,0,"55,771","13,440",,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,DAVID L ASHWORTH,0,"56,749","13,969",,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,GREGORY PAULSON,"32,699",0,0,,,,,,,,,
2019 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,CRAIG W STEDMAN,"54,590",0,0,,,,,,,,,
