# Election: 2024 Presidential Election (2024-11-05) - Election ID: 105 - Lancaster County
# Report generated on: 2026-05-21T03:14:18
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"120,119",0,0,"79,423",0,0,"39,080",0,0,"1,616",0,0
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"166,261",0,0,"140,214",0,0,"24,543",0,0,"1,504",0,0
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Libertarian,CHASE OLIVER,"1,727",0,0,"1,388",0,0,324,0,0,15,0,0
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Green Party,JILL STEIN,"1,150",0,0,850,0,0,285,0,0,15,0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"118,580",0,0,"78,894",0,0,"38,102",0,0,"1,584",0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"162,105",0,0,"136,177",0,0,"24,560",0,0,"1,368",0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Libertarian,JOHN C THOMAS,"4,099",0,0,"3,386",0,0,658,0,0,55,0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Green Party,LEILA HAZOU,"2,429",0,0,"1,742",0,0,638,0,0,49,0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Constitution Party,MARTY SELKER,"1,139",0,0,941,0,0,187,0,0,11,0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Democratic,EUGENE DEPASQUALE,"110,818",0,0,"73,714",0,0,"35,604",0,0,"1,500",0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Republican,DAVE SUNDAY,"167,162",0,0,"139,513",0,0,"26,244",0,0,"1,405",0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Libertarian,ROBERT COWBURN,"3,706",0,0,"3,124",0,0,515,0,0,67,0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Green Party,RICHARD L WEISS,"2,269",0,0,"1,710",0,0,518,0,0,41,0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Constitution Party,JUSTIN L MAGILL,"1,458",0,0,"1,246",0,0,196,0,0,16,0,0
2024 Presidential Election,LANCASTER,Attorney General,Statewide,Forward Party,ERIC L SETTLE,699,0,0,486,0,0,209,0,0,4,0,0
2024 Presidential Election,LANCASTER,Auditor General,Statewide,Democratic,MALCOLM KENYATTA,"107,063",0,0,"70,775",0,0,"34,798",0,0,"1,490",0,0
2024 Presidential Election,LANCASTER,Auditor General,Statewide,Republican,TIM DEFOOR,"169,035",0,0,"140,747",0,0,"26,864",0,0,"1,424",0,0
2024 Presidential Election,LANCASTER,Auditor General,Statewide,Libertarian,REECE SMITH,"5,232",0,0,"4,344",0,0,810,0,0,78,0,0
2024 Presidential Election,LANCASTER,Auditor General,Statewide,American Solidarity Party,ERIC K ANTON,826,0,0,688,0,0,130,0,0,8,0,0
2024 Presidential Election,LANCASTER,Auditor General,Statewide,Constitution Party,BOB GOODRICH,"2,348",0,0,"2,002",0,0,321,0,0,25,0,0
2024 Presidential Election,LANCASTER,State Treasurer,Statewide,Democratic,ERIN MCCLELLAND,"105,136",0,0,"69,020",0,0,"34,651",0,0,"1,465",0,0
2024 Presidential Election,LANCASTER,State Treasurer,Statewide,Republican,STACY GARRITY,"172,048",0,0,"143,729",0,0,"26,857",0,0,"1,462",0,0
2024 Presidential Election,LANCASTER,State Treasurer,Statewide,Libertarian,NICKOLAS CIESIELSKI,"4,151",0,0,"3,470",0,0,625,0,0,56,0,0
2024 Presidential Election,LANCASTER,State Treasurer,Statewide,Constitution Party,TROY BOWMAN,"2,117",0,0,"1,796",0,0,302,0,0,19,0,0
2024 Presidential Election,LANCASTER,State Treasurer,Statewide,Forward Party,CHRIS FOSTER,932,0,0,644,0,0,273,0,0,15,0,0
2024 Presidential Election,LANCASTER,Representative in Congress,11th Congressional District,Democratic,JIM ATKINSON,"112,467",0,0,"74,160",0,0,"36,820",0,0,"1,487",0,0
2024 Presidential Election,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K SMUCKER,"170,624",0,0,"142,762",0,0,"26,413",0,0,"1,449",0,0
2024 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Democratic,TREX PROFFITT,"45,693",0,0,"31,223",0,0,"13,743",0,0,727,0,0
2024 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Republican,SCOTT MARTIN,"65,489",0,0,"55,006",0,0,"9,831",0,0,652,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,JOHN GEORGE,"13,002",0,0,"8,181",0,0,"4,699",0,0,122,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"26,131",0,0,"21,570",0,0,"4,421",0,0,140,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,BRAD CHAMBERS,"15,870",0,0,"10,574",0,0,"5,094",0,0,202,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"19,926",0,0,"16,381",0,0,"3,404",0,0,141,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"23,834",0,0,"19,443",0,0,"4,192",0,0,199,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,49th Legislative District,Democratic,IZZY SMITH-WADE-EL,"18,064",0,0,"13,488",0,0,"4,188",0,0,388,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,NIKKI RIVERA,"21,244",0,0,"14,549",0,0,"6,430",0,0,265,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Republican,ERIC BEEZER,"13,955",0,0,"10,998",0,0,"2,818",0,0,139,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,BOB RUDY,"14,732",0,0,"9,242",0,0,"5,346",0,0,144,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"23,846",0,0,"19,558",0,0,"4,117",0,0,171,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,LYNN MCCLEARY,"10,939",0,0,"7,268",0,0,"3,570",0,0,101,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,TOM JONES,"19,799",0,0,"16,898",0,0,"2,788",0,0,113,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVE ZIMMERMAN,"19,179",0,0,"16,331",0,0,"2,715",0,0,133,0,0
2024 Presidential Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"23,316",0,0,"19,770",0,0,"3,391",0,0,155,0,0
