# Election: 2024 Presidential Primary (2024-04-23) - Election ID: 105 - Lancaster County
# Report generated on: 2026-05-28T23:53:45
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Primary,LANCASTER,President of the United States,Statewide,Democratic,JOSEPH R BIDEN JR,"27,445",0,0,"15,158",0,0,"12,177",0,0,110,0,0
2024 Presidential Primary,LANCASTER,President of the United States,Statewide,Democratic,DEAN PHILLIPS,"1,571",0,0,"1,088",0,0,478,0,0,5,0,0
2024 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,NIKKI R HALEY,"10,495",0,0,"7,476",0,0,"2,992",0,0,27,0,0
2024 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"40,889",0,0,"36,676",0,0,"4,121",0,0,92,0,0
2024 Presidential Primary,LANCASTER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"29,759",0,0,"16,869",0,0,"12,775",0,0,115,0,0
2024 Presidential Primary,LANCASTER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"47,273",0,0,"40,762",0,0,"6,403",0,0,108,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,JACK STOLLSTEIMER,"3,049",0,0,"1,741",0,0,"1,298",0,0,10,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,EUGENE DEPASQUALE,"12,459",0,0,"6,441",0,0,"5,979",0,0,39,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,JOE KHAN,"4,403",0,0,"2,664",0,0,"1,721",0,0,18,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,KEIR BRADFORD-GREY,"5,229",0,0,"3,080",0,0,"2,124",0,0,25,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,JARED SOLOMON,"3,994",0,0,"2,584",0,0,"1,394",0,0,16,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Republican,DAVE SUNDAY,"40,762",0,0,"35,104",0,0,"5,574",0,0,84,0,0
2024 Presidential Primary,LANCASTER,Attorney General,Statewide,Republican,CRAIG WILLIAMS,"8,398",0,0,"6,991",0,0,"1,384",0,0,23,0,0
2024 Presidential Primary,LANCASTER,Auditor General,Statewide,Democratic,MALCOLM KENYATTA,"19,890",0,0,"11,876",0,0,"7,930",0,0,84,0,0
2024 Presidential Primary,LANCASTER,Auditor General,Statewide,Democratic,MARK PINSLEY,"9,223",0,0,"4,749",0,0,"4,444",0,0,30,0,0
2024 Presidential Primary,LANCASTER,Auditor General,Statewide,Republican,TIM DEFOOR,"47,236",0,0,"40,427",0,0,"6,707",0,0,102,0,0
2024 Presidential Primary,LANCASTER,State Treasurer,Statewide,Democratic,RYAN BIZZARRO,"13,665",0,0,"8,326",0,0,"5,281",0,0,58,0,0
2024 Presidential Primary,LANCASTER,State Treasurer,Statewide,Democratic,ERIN MCCLELLAND,"15,281",0,0,"8,224",0,0,"7,000",0,0,57,0,0
2024 Presidential Primary,LANCASTER,State Treasurer,Statewide,Republican,STACY GARRITY,"47,000",0,0,"40,261",0,0,"6,637",0,0,102,0,0
