enhanced_file_021125,contrib_note,amount,date_month,date_day,date_year,donor_type,donor_type_detail,pac_pafiler_id,pac_fec_id,pa_entity_no,olms_filer_num,ein,lob_reg,attorney_id,contributor_name_org,stand_contributor_name_org,contributor_name_ind,contributor_name_first,contributor_name_second,contributor_name_last,contributor_name_suffix,joint_contributor_name_first,joint_contributor_name_second,joint_contributor_name_last,joint_contributor_name_suffix,contributor_address_as_submitted,contributor_address_street_num,contributor_address_pre_directional,contributor_address_street_name,contributor_address_street_suffix,contributor_address_post_directional,contributor_address_secondary,contributor_address_po_box_num,contributor_address_city,contributor_address_state,contributor_address_zip_code,contributor_address_zip4,occupation,occupation_standardized,c_suite,employer_name,employer_address_street_num,employer_address_pre_directional,employer_address_street_name,employer_address_street_suffix,employer_address_post_directional,employer_address_secondary_info,employer_address_po_box_num,employer_address_city,employer_address_state,employer_address_zip_code,source_file_name,source_pg_num,schedule,part,created_at,updated_at,report_id
012925_orgcontribs_enhanced_batch041924.csv,DATA ENTRY ERROR?,81.74,12,29,2023,,,,,,,,,,ACTBLUE PA,ACTBLUE PA,,,,,,,,,,PO BOX 382110,,,,,,,PO BOX 382110,CAMBRIDGE,MA,2238,,,,,,,,,,,,,,,,Scan2024-02-01_102627.pdf,4,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,d43a5629-5b18-4ab1-becf-5491b1016bbf
012925_orgcontribs_enhanced_batch041924.csv,,500,10,4,2021,PAC,OTHER,20150126,,,,,,,AFFORDABLE EDUCATION POLITICAL ACTION,AFFORDABLE EDUCATION PAC,,,,,,,,,,P.O. BOX 6349,,,,,,,P.O. BOX 6349,HARRISBURG,PA,17112,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,537985d2-8e2f-4c45-a95f-e70b36fdf153
012925_orgcontribs_enhanced_batch041924.csv,,1000,10,26,2023,PAC,UNION,7900006,,,,,,,AFSCME COUNCIL 13 POLITICAL AND LEGISLATIVE,AFSCME COUNCIL 13,,,,,,,,,,4031 EXECUTIVE PARK DR,4031,,EXECUTIVE PARK,DR,,,,HARRISBURG,PA,17111,1507,,,,,,,,,,,,,,,2023_502_24HR_1026_LancasterCoDemCom.pdf,1,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,0f960724-3bfe-44d8-a1b7-d0ec7dd867f1
012925_orgcontribs_enhanced_batch041924.csv,,25000,10,23,2020,PAC,UNION,8200558,,,,,,,AFSCME PEOPLE PUBLIC EMP ORG TO PROMOTE LEG EQUALITY,AFSCME PEOPLE PUBLIC EMP ORG TO PROMOTE LEG EQUALITY,,,,,,,,,,1625 L ST NW,1625,,L,ST,NW,,,WASHINGTON,DC,20036,5665,,,,,,,,,,,,,,,2020_502_Cycle11_FamilyandFriendsofJanetDiaz.pdf,5,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,ce15d0ce-e60e-4a9b-9166-a8a6e5d7b6d3
012925_orgcontribs_enhanced_batch041924.csv,,300,6,15,2021,PAC,OTHER,20200037,,,,,,,ALL OF US PAC,ALL OF US,,,,,,,,,,PO BOX 802,,,,,,,PO BOX 802,LANCASTER,PA,17608,,,,,,,,,,,,,,,,2021_502_cycle5_ColumbiaVictoryFund.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,1a8aaf01-b66f-47e2-a022-d35088e3c0ea
012925_orgcontribs_enhanced_batch041924.csv,,135.04,12,29,2023,PAC,CPC,,,,,,,,AMANDA BAKAY FOR LANCASTER,AMANDA BAKAY FOR LANCASTER,,,,,,,,,,457 HIGH STREET,457,,HIGH,STREET,,,,LANCASTER,PA,17603,,,,,,,,,,,,,,,,Scan2024-02-01_100951.pdf,3,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,32552f1b-7380-4009-85b9-3d6b5c747ab8
012925_orgcontribs_enhanced_batch041924.csv,,200,7,25,2019,IND,,,,,,,,,ANGEL D'ORSI & BEER,ANGELA DORSI & BEER,,,,,,,,,,547 DAVENTRY RD,547,,DAVENTRY,RD,,,,BERWYN,PA,19312,,,,,,,,,,,,,,,,2019_502_Cycle5_amendment_HobieforDA.pdf,10,1,B,2024-04-25 18:54:11,2024-04-25 18:54:11,417c708a-eb8d-4412-b8c3-869075d5474b
012925_orgcontribs_enhanced_batch041924.csv,,500,8,29,2022,PAC,CPC,20140011,,,,,,,AUMENT FOR SENATE,AUMENT FOR SENATE,,,,,,,,,,PO BOX 194,,,,,,,PO BOX 194,LANDISVILLE,PA,17538,194,,,,,,,,,,,,,,,2022_502_cycle5_HempfieldAreaRepublicanCommittee.pdf,10,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,19567996-3ec4-4dc9-a545-e3cc4181c166
012925_orgcontribs_enhanced_batch041924.csv,,1000,8,9,2023,PAC,CPC,20140011,,,,,,,AUMENT FOR SENATE,AUMENT FOR SENATE,,,,,,,,,,PO BOX 183,,,,,,,PO BOX 183,LANDISVILLE,PA,17538,,,,,,,,,,,,,,,,2023_502_cycle5_EasternLancasterCountyRepublicanCommittee.pdf,7,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,27000ae5-7686-4ff5-b4be-a1986c799b22
012925_orgcontribs_enhanced_batch041924.csv,,500,10,24,2017,IND,BIZ - LLC,,,6564811,,,,,BARSZ GOWIE AMON & FULTZ & LLC,BARSZ GOWIE AMON & FULTZ & LLC,,,,,,,,,,411 OLD BALTIMORE PIKE,411,,OLD BALTIMORE,PIKE,,,,CHADDS FORD,PA,19317,,,,,,,,,,,,,,,,2017_502_cycle11_FriendsofBrianHurter.pdf,3,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,85b16b65-f719-46a0-a62d-dc80388740c2
