candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
AHMED AHMED,COUNCIL,LANCASTER CITY,2-YR,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,AHMED,,AHMED,,COUNCIL LANCASTER CITY - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/111.html"
AIMIE KELLERS,COUNCIL,COLUMBIA BOROUGH,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,AIMIE,,KELLERS,,COUNCIL COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/125.html"
ALICE YODER,COUNTY COMMISSIONER,LANCASTER,,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,ALICE,,YODER,,COUNTY COMMISSIONER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/13.html"
ALISON HUTCHINSON,SUPERVISOR,WEST HEMPFIELD TOWNSHIP,,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,ALISON,,HUTCHINSON,,SUPERVISOR WEST HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/323.html"
AMANDA CHAP,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 total candidates,  8 cross-filed, 5 running as Republicans 
- 2 appointed incumbents, Scott F. Landis and Daniel C. Wooley 
- Chap, Walker de Ardon, Wingenroth and McMillion were all endorsed by the Democratic Party
- Breault, Brown, Landis Weaver and Wooley were endorsed by the Republican party 
- Regennas, Chap, Walker de Ardon, McMillion, Wingenroth won  the Democratic Primary 
- Woolley, Weaver, Brown, Landis and Breault won the Republican Primary","Candidate sponsored by MCC ""Support Warwick Schools""",AMANDA,,CHAP,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
AMANDA CHAP,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 total candidates,  8 cross-filed, 5 running as Republicans 
- 2 appointed incumbents, Scott F. Landis and Daniel C. Wooley 
- Chap, Walker de Ardon, Wingenroth and McMillion were all endorsed by the Democratic Party
- Breault, Brown, Landis Weaver and Wooley were endorsed by the Republican party 
- Regennas, Chap, Walker de Ardon, McMillion, Wingenroth won  the Democratic Primary 
- Woolley, Weaver, Brown, Landis and Breault won the Republican Primary","Candidate sponsored by MCC ""Support Warwick Schools""",AMANDA,,CHAP,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
AMY MARTIN,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- Two two-year seats available 
- Six candidates, Two Republicans, Four cross-filers, 
- Republicans Angie Lingo and Amy Martin win the Republican Primary
- Cyndi Delong and Dick Hall win the Democratic primary
",,AMY,,MARTIN,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/108.html"
ANDRE GILBERT,COUNCIL,LANCASTER CITY,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,ANDRE,,GILBERT,,COUNCIL LANCASTER CITY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/109.html"
ANDREW E SPADE,PROTHONOTARY,LANCASTER CITY,,Municipal Primary,5,16,2023,REP,open_seat,records scanned,,,ANDREW,E,SPADE,,PROTHONOTARY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/22.html"
ANDREW SCHOENBERGER,COUNCIL,ELIZABETHTOWN BOROUGH,1ST WARD,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,ANDREW,,SCHOENBERGER,,COUNCIL ELIZABETHTOWN - 1ST WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/138.html"
